name,same_as,shortname_mx10,entity,nerc_url,key
animal mates,,,animal,,new21
animal mortality date,,,animal,,new22
animal mortality latitude,,,animal,,new23
animal mortality longitude,,,animal,,new24
animal mortality type,,,animal,,new25
animal offspring,,,animal,,new26
animal parents,,,animal,,new27
animal siblings,,,animal,,new28
capture handling time,,,deployment,,new29
capture latitude,,,deployment,,new30
capture longitude,,,deployment,,new31
capture method,,,deployment,,new32
capture timestamp,,,deployment,,new33
DBA comments,,,deployment,,new34
deploy-off measurements,,,deployment,,new35
deploy-off sampling,,,deployment,,new36
deploy-on measurements,,,deployment,,new37
deploy-on sampling,,,deployment,,new38
event group ID,,,event,,new39
georeference protocol,,,deployment,,new40
GPS GDOP,,,event,,new41
GPS TDOP,,,event,,new42
height above ground level,,,event,,new43
individual count,,,event,,new44
lat median,,,event,,new45
lat sd,,,event,,new46
locality,,,event,,new47
locality according to,,,deployment,,new48
long median,,,event,,new49
long sd,,,event,,new50
Lotek eRes,,,event,,new51
manipulation status,,,event,,new52
observer,,,event,,new53
ODBA,,,event,,new54
outlier comments,,,deployment,,new55
receiver latitude,,,event,,new56
receiver longitude,,,event,,new57
scheduled detachment date,,,deployment,,new58
speed accuracy,,,event,,new59
tag backup voltage,,,event,,new60
tag firmware,,,deployment,,new61
tag retrieval date,,,deployment,,new62
track segment ID,,,event,,new63
vertical speed,,,event,,new64
WC residual,,,event,,new65
